n_sim,gamma,mse,mse_se
1,0.16041354934107996,0.008617279663944245,0.0
1,0.1605613933230635,0.007133767041588966,0.0
1,0.1607093735643786,0.008601239726689787,0.0
1,0.1608574901906077,0.024332753125229388,0.0
1,0.16100574332744896,0.006720797621814141,0.0
1,0.16115413310071644,0.0064096273374095155,0.0
1,0.16130265963634002,0.015069927696411349,0.0
1,0.16145132306036578,0.007860263593526819,0.0
1,0.16160012349895592,0.0063895055982742584,0.0
1,0.16174906107838893,0.009380827279797783,0.0
1,0.16189813592505967,0.007262757308540547,0.0
1,0.16204734816547947,0.008051696434976564,0.0
1,0.16219669792627625,0.005421174138058827,0.0
1,0.16234618533419473,0.01211887359012297,0.0
1,0.16249581051609638,0.008284166194288607,0.0
1,0.16264557359895954,0.008754374710078394,0.0
1,0.16279547470987968,0.008516003310289054,0.0
1,0.16294551397606927,0.015793573297457772,0.0
1,0.1630956915248582,0.0062825750035541954,0.0
1,0.1632460074836936,0.01016391153386505,0.0
1,0.1633964619801401,0.008528416903484928,0.0
1,0.16354705514187984,0.007319379270128323,0.0
1,0.16369778709671265,0.008262233429802408,0.0
1,0.16384865797255627,0.01228837983587412,0.0
1,0.1639996678974462,0.01197789992121028,0.0
1,0.16415081699953593,0.006086479707379022,0.0
1,0.16430210540709725,0.005546287724973101,0.0
1,0.16445353324851986,0.016848747532722495,0.0
1,0.1646051006523121,0.003962911670233798,0.0
1,0.16475680774710055,0.00752653928172249,0.0
1,0.16490865466163038,0.005297804709750829,0.0
1,0.16506064152476557,0.014073976582400857,0.0
1,0.16521276846548855,0.007853221597205457,0.0
1,0.16536503561290095,0.007871763527939269,0.0
1,0.16551744309622318,0.009348850355479615,0.0
1,0.1656699910447948,0.008735834854092994,0.0
1,0.16582267958807465,0.008390135589885217,0.0
1,0.1659755088556408,0.008762622986366393,0.0
1,0.16612847897719074,0.006468233562051437,0.0
1,0.16628159008254154,0.012949914126637723,0.0
1,0.16643484230162986,0.010076852278854426,0.0
1,0.1665882357645122,0.006054954084156675,0.0
1,0.16674177060136486,0.011214706695542278,0.0
1,0.16689544694248412,0.013458653028105484,0.0
1,0.1670492649182864,0.008620423875181419,0.0
